기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201802,충청북도,현지인방문자(a),1.8020454E7,0.0,0.0
201802,충청북도,외지인방문자(b),7647168.0,0.0,0.0
201802,충청북도,외국인방문자(c),28126.0,0.0,0.0
201802,충청북도,외부방문자(b+c),7675294.0,0.0,0.0
201802,충청북도,전체방문자(a+b+c),2.5695747E7,0.0,0.0
201802,충청남도,현지인방문자(a),2.3179748E7,0.0,0.0
201802,충청남도,외지인방문자(b),1.1171646E7,0.0,0.0
201802,충청남도,외국인방문자(c),57080.0,0.0,0.0
201802,충청남도,외부방문자(b+c),1.1228727E7,0.0,0.0
201802,충청남도,전체방문자(a+b+c),3.4408474E7,0.0,0.0
201802,전라북도,현지인방문자(a),2.2566082E7,0.0,0.0
201802,전라북도,외지인방문자(b),7521070.0,0.0,0.0
201802,전라북도,외국인방문자(c),30439.0,0.0,0.0
201802,전라북도,외부방문자(b+c),7551508.0,0.0,0.0
201802,전라북도,전체방문자(a+b+c),3.011759E7,0.0,0.0
201802,전라남도,현지인방문자(a),1.98648E7,0.0,0.0
201802,전라남도,외지인방문자(b),9013182.0,0.0,0.0
201802,전라남도,외국인방문자(c),61746.0,0.0,0.0
201802,전라남도,외부방문자(b+c),9074929.0,0.0,0.0
201802,전라남도,전체방문자(a+b+c),2.8939728E7,0.0,0.0
201802,경상북도,현지인방문자(a),3.3161758E7,0.0,0.0
201802,경상북도,외지인방문자(b),1.350482E7,0.0,0.0
201802,경상북도,외국인방문자(c),56311.0,0.0,0.0
201802,경상북도,외부방문자(b+c),1.3561131E7,0.0,0.0
201802,경상북도,전체방문자(a+b+c),4.6722889E7,0.0,0.0
201802,경상남도,현지인방문자(a),3.7545088E7,0.0,0.0
201802,경상남도,외지인방문자(b),1.1787962E7,0.0,0.0
201802,경상남도,외국인방문자(c),87756.0,0.0,0.0
201802,경상남도,외부방문자(b+c),1.1875718E7,0.0,0.0
201802,경상남도,전체방문자(a+b+c),4.9420806E7,0.0,0.0
201802,제주특별자치도,현지인방문자(a),1.1855756E7,0.0,0.0
201802,제주특별자치도,외지인방문자(b),3458410.0,0.0,0.0
201802,제주특별자치도,외국인방문자(c),182291.0,0.0,0.0
201802,제주특별자치도,외부방문자(b+c),3640700.0,0.0,0.0
201802,제주특별자치도,전체방문자(a+b+c),1.5496457E7,0.0,0.0
201803,서울특별시,현지인방문자(a),1.36124684E8,0.0,0.0
201803,서울특별시,외지인방문자(b),5.5548748E7,0.0,0.0
201803,서울특별시,외국인방문자(c),1350586.0,0.0,0.0
201803,서울특별시,외부방문자(b+c),5.6899335E7,0.0,0.0
201803,서울특별시,전체방문자(a+b+c),1.93024019E8,0.0,0.0
201803,부산광역시,현지인방문자(a),3.9155039E7,0.0,0.0
201803,부산광역시,외지인방문자(b),1.3231071E7,0.0,0.0
201803,부산광역시,외국인방문자(c),269389.0,0.0,0.0
201803,부산광역시,외부방문자(b+c),1.350046E7,0.0,0.0
201803,부산광역시,전체방문자(a+b+c),5.2655499E7,0.0,0.0
201803,대구광역시,현지인방문자(a),3.5085757E7,0.0,0.0
201803,대구광역시,외지인방문자(b),9436294.0,0.0,0.0
201803,대구광역시,외국인방문자(c),52036.0,0.0,0.0
201803,대구광역시,외부방문자(b+c),9488330.0,0.0,0.0
201803,대구광역시,전체방문자(a+b+c),4.4574087E7,0.0,0.0
201803,인천광역시,현지인방문자(a),3.34243E7,0.0,0.0
201803,인천광역시,외지인방문자(b),1.3076976E7,0.0,0.0
201803,인천광역시,외국인방문자(c),364127.0,0.0,0.0
201803,인천광역시,외부방문자(b+c),1.3441103E7,0.0,0.0
201803,인천광역시,전체방문자(a+b+c),4.6865403E7,0.0,0.0
201803,광주광역시,현지인방문자(a),2.1838754E7,0.0,0.0
201803,광주광역시,외지인방문자(b),5962918.0,0.0,0.0
201803,광주광역시,외국인방문자(c),21379.0,0.0,0.0
201803,광주광역시,외부방문자(b+c),5984298.0,0.0,0.0
201803,광주광역시,전체방문자(a+b+c),2.7823052E7,0.0,0.0
201803,대전광역시,현지인방문자(a),2.1473326E7,0.0,0.0
201803,대전광역시,외지인방문자(b),8172700.0,0.0,0.0
201803,대전광역시,외국인방문자(c),25132.0,0.0,0.0
201803,대전광역시,외부방문자(b+c),8197831.0,0.0,0.0
201803,대전광역시,전체방문자(a+b+c),2.9671157E7,0.0,0.0
201803,울산광역시,현지인방문자(a),1.5018804E7,0.0,0.0
201803,울산광역시,외지인방문자(b),3970204.0,0.0,0.0
201803,울산광역시,외국인방문자(c),50700.0,0.0,0.0
201803,울산광역시,외부방문자(b+c),4020904.0,0.0,0.0
201803,울산광역시,전체방문자(a+b+c),1.9039709E7,0.0,0.0
201803,세종특별자치시,현지인방문자(a),2900282.0,0.0,0.0
201803,세종특별자치시,외지인방문자(b),2244886.0,0.0,0.0
201803,세종특별자치시,외국인방문자(c),7959.0,0.0,0.0
201803,세종특별자치시,외부방문자(b+c),2252845.0,0.0,0.0
201803,세종특별자치시,전체방문자(a+b+c),5153127.0,0.0,0.0
201803,경기도,현지인방문자(a),1.56474276E8,0.0,0.0
201803,경기도,외지인방문자(b),5.3385339E7,0.0,0.0
201803,경기도,외국인방문자(c),412287.0,0.0,0.0
201803,경기도,외부방문자(b+c),5.3797626E7,0.0,0.0
201803,경기도,전체방문자(a+b+c),2.10271902E8,0.0,0.0
201803,강원도,현지인방문자(a),2.4739536E7,0.0,0.0
201803,강원도,외지인방문자(b),9936948.0,0.0,0.0
201803,강원도,외국인방문자(c),125961.0,0.0,0.0
201803,강원도,외부방문자(b+c),1.0062909E7,0.0,0.0
201803,강원도,전체방문자(a+b+c),3.4802445E7,0.0,0.0
201803,충청북도,현지인방문자(a),2.1329242E7,0.0,0.0
201803,충청북도,외지인방문자(b),9117885.0,0.0,0.0
201803,충청북도,외국인방문자(c),38879.0,0.0,0.0
201803,충청북도,외부방문자(b+c),9156764.0,0.0,0.0
201803,충청북도,전체방문자(a+b+c),3.0486006E7,0.0,0.0
201803,충청남도,현지인방문자(a),2.743168E7,0.0,0.0
201803,충청남도,외지인방문자(b),1.3446814E7,0.0,0.0
201803,충청남도,외국인방문자(c),64538.0,0.0,0.0
201803,충청남도,외부방문자(b+c),1.3511352E7,0.0,0.0
201803,충청남도,전체방문자(a+b+c),4.0943033E7,0.0,0.0
201803,전라북도,현지인방문자(a),2.615843E7,0.0,0.0
201803,전라북도,외지인방문자(b),7523142.0,0.0,0.0
201803,전라북도,외국인방문자(c),40194.0,0.0,0.0
201803,전라북도,외부방문자(b+c),7563335.0,0.0,0.0
201803,전라북도,전체방문자(a+b+c),3.3721765E7,0.0,0.0
201803,전라남도,현지인방문자(a),2.3271437E7,0.0,0.0
201803,전라남도,외지인방문자(b),9340698.0,0.0,0.0
201803,전라남도,외국인방문자(c),77173.0,0.0,0.0
201803,전라남도,외부방문자(b+c),9417872.0,0.0,0.0
201803,전라남도,전체방문자(a+b+c),3.2689309E7,0.0,0.0
201803,경상북도,현지인방문자(a),3.8871987E7,0.0,0.0
201803,경상북도,외지인방문자(b),1.4431228E7,0.0,0.0
201803,경상북도,외국인방문자(c),74851.0,0.0,0.0
201803,경상북도,외부방문자(b+c),1.4506079E7,0.0,0.0
201803,경상북도,전체방문자(a+b+c),5.3378066E7,0.0,0.0
201803,경상남도,현지인방문자(a),4.3736962E7,0.0,0.0
201803,경상남도,외지인방문자(b),1.2409894E7,0.0,0.0
201803,경상남도,외국인방문자(c),106862.0,0.0,0.0
201803,경상남도,외부방문자(b+c),1.2516756E7,0.0,0.0
201803,경상남도,전체방문자(a+b+c),5.6253718E7,0.0,0.0
201803,제주특별자치도,현지인방문자(a),1.394037E7,0.0,0.0
201803,제주특별자치도,외지인방문자(b),4182532.0,0.0,0.0
201803,제주특별자치도,외국인방문자(c),220147.0,0.0,0.0
201803,제주특별자치도,외부방문자(b+c),4402679.0,0.0,0.0
201803,제주특별자치도,전체방문자(a+b+c),1.8343049E7,0.0,0.0
201804,서울특별시,현지인방문자(a),1.29081032E8,0.0,0.0
201804,서울특별시,외지인방문자(b),4.4093536E7,0.0,0.0
201804,서울특별시,외국인방문자(c),1537003.0,0.0,0.0
