,기준연월,국가명,value
419,201812,터키,1908.0
420,201901,터키,1785.0
421,201902,터키,1765.0
422,201903,터키,2532.0
423,201904,터키,2826.0
424,201905,터키,2492.0
425,201906,터키,2835.0
426,201907,터키,2962.0
427,201908,터키,3015.0
428,201909,터키,2802.0
429,201910,터키,2893.0
430,201911,터키,2881.0
431,201912,터키,2505.0
432,201801,프랑스,5891.0
433,201802,프랑스,7277.0
434,201803,프랑스,7102.0
435,201804,프랑스,10174.0
436,201805,프랑스,9390.0
437,201806,프랑스,7716.0
438,201807,프랑스,9585.0
439,201808,프랑스,10722.0
440,201809,프랑스,7944.0
441,201810,프랑스,10813.0
442,201811,프랑스,7668.0
443,201812,프랑스,5814.0
444,201901,프랑스,5574.0
445,201902,프랑스,5830.0
446,201903,프랑스,7469.0
447,201904,프랑스,11616.0
448,201905,프랑스,10395.0
449,201906,프랑스,8559.0
450,201907,프랑스,10716.0
451,201908,프랑스,12984.0
452,201909,프랑스,10242.0
453,201910,프랑스,12546.0
454,201911,프랑스,8111.0
455,201912,프랑스,6752.0
456,201801,필리핀,30454.0
457,201802,필리핀,27013.0
458,201803,필리핀,41177.0
459,201804,필리핀,49053.0
460,201805,필리핀,42722.0
461,201806,필리핀,37554.0
462,201807,필리핀,29237.0
463,201808,필리핀,30459.0
464,201809,필리핀,33427.0
465,201810,필리핀,52016.0
466,201811,필리핀,44406.0
467,201812,필리핀,42650.0
468,201901,필리핀,30473.0
469,201902,필리핀,29294.0
470,201903,필리핀,38701.0
471,201904,필리핀,66525.0
472,201905,필리핀,50569.0
473,201906,필리핀,40748.0
474,201907,필리핀,29074.0
475,201908,필리핀,41817.0
476,201909,필리핀,36252.0
477,201910,필리핀,55394.0
478,201911,필리핀,41739.0
479,201912,필리핀,43281.0
480,201801,호주,11688.0
481,201802,호주,8769.0
482,201803,호주,10693.0
483,201804,호주,15500.0
484,201805,호주,12472.0
485,201806,호주,11841.0
486,201807,호주,11491.0
487,201808,호주,11577.0
488,201809,호주,15310.0
489,201810,호주,14907.0
490,201811,호주,11711.0
491,201812,호주,17174.0
492,201901,호주,14285.0
493,201902,호주,8331.0
494,201903,호주,12263.0
495,201904,호주,19938.0
496,201905,호주,13558.0
497,201906,호주,13201.0
498,201907,호주,11840.0
499,201908,호주,13647.0
500,201909,호주,17269.0
501,201910,호주,16251.0
502,201911,호주,13346.0
503,201912,호주,19289.0
504,201801,홍콩,34671.0
505,201802,홍콩,50590.0
506,201803,홍콩,62340.0
507,201804,홍콩,66533.0
508,201805,홍콩,57320.0
509,201806,홍콩,66136.0
510,201807,홍콩,58373.0
511,201808,홍콩,63397.0
512,201809,홍콩,49649.0
513,201810,홍콩,61473.0
514,201811,홍콩,53790.0
515,201812,홍콩,59546.0
516,201901,홍콩,35896.0
517,201902,홍콩,51312.0
518,201903,홍콩,46068.0
519,201904,홍콩,76104.0
520,201905,홍콩,57026.0
521,201906,홍콩,61728.0
522,201907,홍콩,59036.0
523,201908,홍콩,65958.0
524,201909,홍콩,45911.0
525,201910,홍콩,65544.0
526,201911,홍콩,58600.0
527,201912,홍콩,71751.0
